JMJD4 KRAS
KRAS MDH2
KRAS MPO
KRAS KIF2C
KRAS IL24
KRAS SKP1
KRAS HEATR1
KRAS HMBOX1
KRAS KIF5C
KRAS EXOSC8
KRAS FMR1NB
KRAS MIA
KRAS PSMC5
KRAS PPWD1
KRAS CTDNEP1
KRAS APOC1
KRAS H2AC1
KRAS STRADA
KRAS VPS53
KRAS ANKRD13C
KRAS FAM76B
KRAS NF2
KRAS SFPQ
KRAS MCM5
KRAS MCM6
KRAS KCNG4
KRAS KCNQ5
KRAS NECAP1
KRAS GFPT2
KRAS LRRC10
KRAS TRIM39
KRAS HCN3
KRAS CCDC112
KRAS PLAA
KRAS TUBGCP4
KRAS ZC3H18
KRAS SMC4
KRAS NAA15
KRAS IFI6
KRAS EFCAB12
KRAS ABCA10
KRAS CNPY3
KRAS CCT8
KRAS COBLL1
KRAS CHSY3
KRAS RRM1
KRAS PHTF1
KRAS NOP56
KRAS TSSK1B
KRAS SPHK1
KRAS UBA1
KRAS UBC
KRAS EXOSC4
KRAS WDR36
KRAS CAPN3
KRAS COX4I2
KRAS MSLN
KRAS SLU7
KRAS DNAJB2
KRAS PPL
KRAS OTOF
KRAS CD14
KRAS GNS
KRAS RTN2
KRAS SH3PXD2B
KRAS COL1A1
KRAS SLC30A3
KRAS TNXB
KRAS TNNT3
KRAS TIMM22
KRAS CDH5
KRAS TLCD2
KRAS OSBPL9
KRAS LSM5
KRAS CDC73
KRAS NKAP
KRAS PSEN1
KRAS MOS
KRAS RAPGEF1
KRAS AAR2
KRAS A2M
KRAS CNOT1
KRAS SLC25A26
KRAS ADAMTSL5
KRAS OIP5
KRAS ASB10
KRAS NAT2
KRAS ABCB5
KRAS SPATA6L
KRAS PSMD12
KRAS TMEM248
KRAS LACC1
KRAS SSR3
KRAS IYD
KRAS NMNAT1
KRAS CDC37L1
KRAS SPOUT1
KRAS EIF5A2
KRAS DDX43
KRAS ELOVL7
KRAS ADPRS
KRAS CCDC51
KRAS HM13
KRAS ADGRL1
KRAS NADK
KRAS TSPAN15
KRAS ZNF584
KRAS TOMM6
KRAS UBE2R2
KRAS FBL
KRAS ZPR1
KRAS MYBPC3
KRAS RAB3IP
KRAS ASB7
KRAS THOC7
KRAS NCAPG
KRAS RRM2B
KRAS HIBCH
KRAS PSKH2
KRAS NPR2
KRAS KCMF1
KRAS SEH1L
KRAS NCKAP1
KRAS CHST8
KRAS GRHL2
KRAS DSCAM
KRAS UBAC2
KRAS DSC1
KRAS RXRG
KRAS CSNK1G1
KRAS PDZD8
KRAS SFXN2
KRAS EXOSC10
KRAS PATZ1
KRAS HRG
KRAS GARRE1
KRAS CAPZB
KRAS TTC39A
KRAS KDM2A
KRAS RMI2
KRAS ZDHHC16
KRAS CDC16
KRAS RIMS1
KRAS NAE1
KRAS ZNF512
KRAS VPS13C
KRAS NLRC4
KRAS CD96
KRAS HSPA9
KRAS CACNB4
KRAS ZNF550
KRAS ABR
KRAS LMAN1L
KRAS TOP2A
KRAS ZNF260
KRAS CYP11B1
KRAS TOP1
KRAS TTPAL
KRAS BFSP1
KRAS ATG16L2
KRAS CUL5
KRAS PRTN3
KRAS NAA10
KRAS ZBTB8OS
KRAS IBTK
KRAS EIF3A
KRAS EIF3C
KRAS EIF3F
KRAS EIF3G
KRAS ZCCHC24
KRAS KCNRG
KRAS CYBC1
KRAS MAD2L1
KRAS XAGE3
KRAS VPS33A
KRAS DDX42
KRAS DTX4
KRAS RNF40
KRAS UBE2U
KRAS CDKL1
KRAS SRP72
KRAS TRIM21
KRAS CDC45
KRAS DCTN3
KRAS KIF14
KRAS ARID1B
KRAS NOP10
KRAS SVEP1
KRAS IARS2
KRAS SRD5A1
KRAS SNTB2
KRAS SNX2
KRAS UTP14A
KRAS ANAPC4
KRAS DSTYK
KRAS RNF20
KRAS LAPTM5
KRAS TNRC6C
KRAS EIF3E
KRAS ASPHD2
KRAS GABPB1
KRAS GABRA6
KRAS SEC13
KRAS AKR1A1
KRAS OXA1L
KRAS PDHB
KRAS SEM1
KRAS PSMF1
KRAS PDCD5
KRAS RYR2
KRAS GOT2
KRAS MAGEC3
KRAS FABP3
KRAS FANCC
KRAS FANCD2
KRAS TUBB1
KRAS TP53I3
KRAS CIR1
KRAS DOCK5
KRAS KIAA0408
KRAS TFB2M
KRAS CRY1
KRAS TK2
KRAS CHAF1A
KRAS MN1
KRAS CASQ1
KRAS PDCD11
KRAS MYH15
KRAS RAB41
KRAS TCTE1
KRAS CCHCR1
KRAS BTBD1
KRAS ERCC6L
KRAS SQOR
KRAS PKD2L1
KRAS SPRY2
KRAS SEPTIN1
KRAS DKC1
KRAS ZGPAT
KRAS FCRL3
KRAS ERCC6L2
KRAS MYL11
KRAS TAF12
KRAS CYP27A1
KRAS CDK9
KRAS PLK1
KRAS PLG
KRAS KPNA7
KRAS TPH1
KRAS IFI27L2
KRAS CRELD2
KRAS MLF2
KRAS CSN1S1
KRAS TBC1D1
KRAS RRS1
KRAS ELP5
KRAS ATP2A2
KRAS KDM3B
